File Name: 	eil51.tsp
CrossOver 	 Muation 	 Populationsize 	 Generationsize 	 TimeCost(ms) 	 Distance 	 Standard Deviation 
0	 0 	 20 	 2000 	 48.0 	 687.6415849598684 	 1.5769206208640578
0	 1 	 20 	 2000 	 62.0 	 626.3021932502461 	 1.4362552600514096
0	 2 	 20 	 2000 	 47.0 	 474.36996025300147 	 1.0878396371055399
1	 0 	 20 	 2000 	 101.0 	 473.54046457262774 	 1.0859374123537089
1	 1 	 20 	 2000 	 88.0 	 458.797214700505 	 1.0521277428246931
1	 2 	 20 	 2000 	 87.0 	 456.7961779722437 	 1.0475389044691918
2	 0 	 20 	 2000 	 119.0 	 456.58544357851775 	 1.0470556419407757
2	 1 	 20 	 2000 	 118.0 	 456.58544357851775 	 1.0470556419407757
2	 2 	 20 	 2000 	 118.0 	 456.58544357851775 	 1.0470556419407757
3	 0 	 20 	 2000 	 88.0 	 456.58544357851775 	 1.0470556419407757
3	 1 	 20 	 2000 	 85.0 	 456.58544357851775 	 1.0470556419407757
3	 2 	 20 	 2000 	 85.0 	 456.58544357851775 	 1.0470556419407757
0	 0 	 20 	 5000 	 146.0 	 561.5452080441933 	 1.2877525697692722
0	 1 	 20 	 5000 	 117.0 	 512.3406654274372 	 1.17491521439456
0	 2 	 20 	 5000 	 118.0 	 471.7915175728214 	 1.081926673839467
1	 0 	 20 	 5000 	 223.0 	 471.7915175728214 	 1.081926673839467
1	 1 	 20 	 5000 	 225.0 	 470.1615605271989 	 1.0781888067113252
1	 2 	 20 	 5000 	 227.0 	 470.1615605271989 	 1.0781888067113252
2	 0 	 20 	 5000 	 296.0 	 470.1615605271989 	 1.0781888067113252
2	 1 	 20 	 5000 	 295.0 	 470.1615605271989 	 1.0781888067113252
2	 2 	 20 	 5000 	 294.0 	 470.1615605271989 	 1.0781888067113252
3	 0 	 20 	 5000 	 214.0 	 470.1615605271989 	 1.0781888067113252
3	 1 	 20 	 5000 	 212.0 	 470.1615605271989 	 1.0781888067113252
3	 2 	 20 	 5000 	 213.0 	 470.1615605271989 	 1.0781888067113252
0	 0 	 20 	 10000 	 234.0 	 591.8400242222655 	 1.357225564686059
0	 1 	 20 	 10000 	 234.0 	 551.7688404807237 	 1.2653331059887603
0	 2 	 20 	 10000 	 234.0 	 451.2351421298179 	 1.0347861677454564
1	 0 	 20 	 10000 	 445.0 	 451.2351421298179 	 1.0347861677454564
1	 1 	 20 	 10000 	 448.0 	 446.65332475668475 	 1.0242790046320613
1	 2 	 20 	 10000 	 469.0 	 446.65332475668475 	 1.0242790046320613
2	 0 	 20 	 10000 	 589.0 	 446.65332475668475 	 1.0242790046320613
2	 1 	 20 	 10000 	 588.0 	 446.65332475668475 	 1.0242790046320613
2	 2 	 20 	 10000 	 588.0 	 446.65332475668475 	 1.0242790046320613
3	 0 	 20 	 10000 	 425.0 	 446.65332475668475 	 1.0242790046320613
3	 1 	 20 	 10000 	 442.0 	 446.65332475668475 	 1.0242790046320613
3	 2 	 20 	 10000 	 428.0 	 446.65332475668475 	 1.0242790046320613
0	 0 	 20 	 20000 	 501.0 	 572.7516815701966 	 1.3134515960888529
0	 1 	 20 	 20000 	 493.0 	 560.7753656217868 	 1.285987143685014
0	 2 	 20 	 20000 	 503.0 	 458.31552685641896 	 1.051023121593557
1	 0 	 20 	 20000 	 890.0 	 458.31552685641896 	 1.051023121593557
1	 1 	 20 	 20000 	 890.0 	 458.31552685641896 	 1.051023121593557
1	 2 	 20 	 20000 	 888.0 	 458.31552685641896 	 1.051023121593557
2	 0 	 20 	 20000 	 1176.0 	 458.31552685641896 	 1.051023121593557
2	 1 	 20 	 20000 	 1182.0 	 458.31552685641896 	 1.051023121593557
2	 2 	 20 	 20000 	 1198.0 	 458.31552685641896 	 1.051023121593557
3	 0 	 20 	 20000 	 849.0 	 458.31552685641896 	 1.051023121593557
3	 1 	 20 	 20000 	 849.0 	 458.31552685641896 	 1.051023121593557
3	 2 	 20 	 20000 	 870.0 	 458.31552685641896 	 1.051023121593557
0	 0 	 50 	 2000 	 118.0 	 616.4532395749056 	 1.413669339588956
0	 1 	 50 	 2000 	 117.0 	 552.752349975553 	 1.26758851990952
0	 2 	 50 	 2000 	 117.0 	 464.40932302459663 	 1.0649976005185082
1	 0 	 50 	 2000 	 225.0 	 464.40932302459663 	 1.0649976005185082
1	 1 	 50 	 2000 	 223.0 	 464.0156830050568 	 1.0640948932396197
1	 2 	 50 	 2000 	 225.0 	 464.0156830050568 	 1.0640948932396197
2	 0 	 50 	 2000 	 294.0 	 464.0156830050568 	 1.0640948932396197
2	 1 	 50 	 2000 	 301.0 	 464.0156830050568 	 1.0640948932396197
2	 2 	 50 	 2000 	 296.0 	 464.0156830050568 	 1.0640948932396197
3	 0 	 50 	 2000 	 212.0 	 464.0156830050568 	 1.0640948932396197
3	 1 	 50 	 2000 	 222.0 	 464.0156830050568 	 1.0640948932396197
3	 2 	 50 	 2000 	 212.0 	 464.0156830050568 	 1.0640948932396197
0	 0 	 50 	 5000 	 293.0 	 531.0398670260531 	 1.2177967928788986
0	 1 	 50 	 5000 	 294.0 	 490.6115402274566 	 1.1250853228483906
0	 2 	 50 	 5000 	 295.0 	 463.972693962269 	 1.0639963094577105
1	 0 	 50 	 5000 	 558.0 	 463.972693962269 	 1.0639963094577105
1	 1 	 50 	 5000 	 557.0 	 463.972693962269 	 1.0639963094577105
1	 2 	 50 	 5000 	 556.0 	 463.972693962269 	 1.0639963094577105
2	 0 	 50 	 5000 	 739.0 	 463.972693962269 	 1.0639963094577105
2	 1 	 50 	 5000 	 739.0 	 463.972693962269 	 1.0639963094577105
2	 2 	 50 	 5000 	 739.0 	 463.972693962269 	 1.0639963094577105
3	 0 	 50 	 5000 	 530.0 	 463.972693962269 	 1.0639963094577105
3	 1 	 50 	 5000 	 526.0 	 463.972693962269 	 1.0639963094577105
3	 2 	 50 	 5000 	 533.0 	 463.972693962269 	 1.0639963094577105
0	 0 	 50 	 10000 	 587.0 	 632.2431549624412 	 1.4498792543481929
0	 1 	 50 	 10000 	 588.0 	 593.6346081166612 	 1.3613409591165866
0	 2 	 50 	 10000 	 586.0 	 467.54003580119263 	 1.0721770463859435
1	 0 	 50 	 10000 	 1116.0 	 467.54003580119263 	 1.0721770463859435
1	 1 	 50 	 10000 	 1112.0 	 456.39585132805416 	 1.0466208632190532
1	 2 	 50 	 10000 	 1128.0 	 456.39585132805416 	 1.0466208632190532
2	 0 	 50 	 10000 	 1493.0 	 456.39585132805416 	 1.0466208632190532
2	 1 	 50 	 10000 	 1483.0 	 456.39585132805416 	 1.0466208632190532
2	 2 	 50 	 10000 	 1500.0 	 456.39585132805416 	 1.0466208632190532
3	 0 	 50 	 10000 	 1060.0 	 456.39585132805416 	 1.0466208632190532
3	 1 	 50 	 10000 	 1061.0 	 456.39585132805416 	 1.0466208632190532
3	 2 	 50 	 10000 	 1063.0 	 456.39585132805416 	 1.0466208632190532
0	 0 	 50 	 20000 	 1171.0 	 535.5490235065923 	 1.2281373278209209
0	 1 	 50 	 20000 	 1172.0 	 514.1906279500921 	 1.1791576047816545
0	 2 	 50 	 20000 	 1170.0 	 456.89530848050504 	 1.0477662335691955
1	 0 	 50 	 20000 	 2242.0 	 456.89530848050504 	 1.0477662335691955
1	 1 	 50 	 20000 	 2236.0 	 451.81437005366877 	 1.0361144708575405
1	 2 	 50 	 20000 	 2270.0 	 451.81437005366877 	 1.0361144708575405
2	 0 	 50 	 20000 	 2952.0 	 451.81437005366877 	 1.0361144708575405
2	 1 	 50 	 20000 	 2948.0 	 451.81437005366877 	 1.0361144708575405
2	 2 	 50 	 20000 	 2975.0 	 451.81437005366877 	 1.0361144708575405
3	 0 	 50 	 20000 	 2119.0 	 451.81437005366877 	 1.0361144708575405
3	 1 	 50 	 20000 	 2119.0 	 451.81437005366877 	 1.0361144708575405
