File Name: 	eil51.tsp
CrossOver 	 Muation 	 Populationsize 	 Generationsize 	 TimeCost(ms) 	 Distance 	 Standard Deviation 
3	 2 	 50 	 20000 	 2122.0 	 451.81437005366877 	 1.0361144708575405
0	 0 	 100 	 2000 	 252.0 	 550.4952621177173 	 1.26241249730709
0	 1 	 100 	 2000 	 253.0 	 513.094635451591 	 1.176644241411841
0	 2 	 100 	 2000 	 235.0 	 455.05478038937713 	 1.043545478507751
1	 0 	 100 	 2000 	 448.0 	 455.05478038937713 	 1.043545478507751
1	 1 	 100 	 2000 	 448.0 	 451.06135687780113 	 1.0343876381138848
1	 2 	 100 	 2000 	 448.0 	 451.06135687780113 	 1.0343876381138848
2	 0 	 100 	 2000 	 604.0 	 451.06135687780113 	 1.0343876381138848
2	 1 	 100 	 2000 	 594.0 	 451.06135687780113 	 1.0343876381138848
2	 2 	 100 	 2000 	 592.0 	 451.06135687780113 	 1.0343876381138848
3	 0 	 100 	 2000 	 424.0 	 451.06135687780113 	 1.0343876381138848
3	 1 	 100 	 2000 	 437.0 	 451.06135687780113 	 1.0343876381138848
3	 2 	 100 	 2000 	 429.0 	 451.06135687780113 	 1.0343876381138848
0	 0 	 100 	 5000 	 589.0 	 528.788575991218 	 1.212634063727483
0	 1 	 100 	 5000 	 589.0 	 498.0860990571746 	 1.1422262087521011
0	 2 	 100 	 5000 	 592.0 	 469.2038473707168 	 1.0759925497391445
1	 0 	 100 	 5000 	 1124.0 	 469.2038473707168 	 1.0759925497391445
1	 1 	 100 	 5000 	 1144.0 	 462.2706171328261 	 1.060093055045312
1	 2 	 100 	 5000 	 1119.0 	 462.2706171328261 	 1.060093055045312
2	 0 	 100 	 5000 	 1482.0 	 462.2706171328261 	 1.060093055045312
2	 1 	 100 	 5000 	 1480.0 	 462.2706171328261 	 1.060093055045312
2	 2 	 100 	 5000 	 1483.0 	 462.2706171328261 	 1.060093055045312
3	 0 	 100 	 5000 	 1082.0 	 462.2706171328261 	 1.060093055045312
3	 1 	 100 	 5000 	 1086.0 	 462.2706171328261 	 1.060093055045312
3	 2 	 100 	 5000 	 1068.0 	 462.2706171328261 	 1.060093055045312
0	 0 	 100 	 10000 	 1198.0 	 564.1525630736569 	 1.2937318357150842
0	 1 	 100 	 10000 	 1175.0 	 529.6923624558664 	 1.2147066543679184
0	 2 	 100 	 10000 	 1227.0 	 449.36465933558435 	 1.030496719646749
1	 0 	 100 	 10000 	 2241.0 	 449.36465933558435 	 1.030496719646749
1	 1 	 100 	 10000 	 2243.0 	 449.36465933558435 	 1.030496719646749
1	 2 	 100 	 10000 	 2256.0 	 449.36465933558435 	 1.030496719646749
2	 0 	 100 	 10000 	 3044.0 	 449.36465933558435 	 1.030496719646749
2	 1 	 100 	 10000 	 2977.0 	 449.36465933558435 	 1.030496719646749
2	 2 	 100 	 10000 	 2964.0 	 449.36465933558435 	 1.030496719646749
3	 0 	 100 	 10000 	 2130.0 	 449.36465933558435 	 1.030496719646749
3	 1 	 100 	 10000 	 2129.0 	 446.6534291732704 	 1.024279244083355
3	 2 	 100 	 10000 	 2136.0 	 446.6534291732704 	 1.024279244083355
0	 0 	 100 	 20000 	 2377.0 	 619.1051399282661 	 1.419750758227904
0	 1 	 100 	 20000 	 2350.0 	 531.6604718894279 	 1.2192199828485997
0	 2 	 100 	 20000 	 2378.0 	 463.9468205842533 	 1.0639369758394177
1	 0 	 100 	 20000 	 4496.0 	 463.9468205842533 	 1.0639369758394177
1	 1 	 100 	 20000 	 4487.0 	 459.36500321112015 	 1.0534298127260227
1	 2 	 100 	 20000 	 4488.0 	 459.15596113370526 	 1.052950431068901
2	 0 	 100 	 20000 	 5976.0 	 459.15596113370526 	 1.052950431068901
2	 1 	 100 	 20000 	 5924.0 	 459.15596113370526 	 1.052950431068901
2	 2 	 100 	 20000 	 5952.0 	 459.15596113370526 	 1.052950431068901
3	 0 	 100 	 20000 	 4247.0 	 459.15596113370526 	 1.052950431068901
3	 1 	 100 	 20000 	 4275.0 	 459.15596113370526 	 1.052950431068901
3	 2 	 100 	 20000 	 4268.0 	 459.15596113370526 	 1.052950431068901
0	 0 	 200 	 2000 	 476.0 	 556.8035536077336 	 1.2768788634353234
0	 1 	 200 	 2000 	 476.0 	 493.2629184789908 	 1.1311655441875332
0	 2 	 200 	 2000 	 475.0 	 443.794379060851 	 1.0177227833093587
1	 0 	 200 	 2000 	 905.0 	 443.794379060851 	 1.0177227833093587
1	 1 	 200 	 2000 	 903.0 	 441.84343394810384 	 1.0132488165718112
1	 2 	 200 	 2000 	 939.0 	 441.84343394810384 	 1.0132488165718112
2	 0 	 200 	 2000 	 1192.0 	 441.84343394810384 	 1.0132488165718112
2	 1 	 200 	 2000 	 1191.0 	 441.84343394810384 	 1.0132488165718112
2	 2 	 200 	 2000 	 1191.0 	 441.84343394810384 	 1.0132488165718112
3	 0 	 200 	 2000 	 879.0 	 441.84343394810384 	 1.0132488165718112
3	 1 	 200 	 2000 	 866.0 	 441.84343394810384 	 1.0132488165718112
3	 2 	 200 	 2000 	 848.0 	 441.84343394810384 	 1.0132488165718112
0	 0 	 200 	 5000 	 1187.0 	 522.4383626062361 	 1.1980715610332207
0	 1 	 200 	 5000 	 1208.0 	 492.51445946234753 	 1.129449155180482
0	 2 	 200 	 5000 	 1201.0 	 467.1475173801349 	 1.0712769111908462
1	 0 	 200 	 5000 	 2278.0 	 467.1475173801349 	 1.0712769111908462
1	 1 	 200 	 5000 	 2262.0 	 463.2297506129997 	 1.0622925691470297
1	 2 	 200 	 5000 	 2276.0 	 463.2297506129997 	 1.0622925691470297
2	 0 	 200 	 5000 	 2978.0 	 463.2297506129997 	 1.0622925691470297
2	 1 	 200 	 5000 	 2981.0 	 463.2297506129997 	 1.0622925691470297
2	 2 	 200 	 5000 	 3044.0 	 463.2297506129997 	 1.0622925691470297
3	 0 	 200 	 5000 	 2133.0 	 463.2297506129997 	 1.0622925691470297
3	 1 	 200 	 5000 	 2147.0 	 463.2297506129997 	 1.0622925691470297
3	 2 	 200 	 5000 	 2147.0 	 463.2297506129997 	 1.0622925691470297
0	 0 	 200 	 10000 	 2374.0 	 574.1892996605382 	 1.3167483856681494
0	 1 	 200 	 10000 	 2379.0 	 537.4483521624148 	 1.2324929261277617
0	 2 	 200 	 10000 	 2390.0 	 470.01560165995943 	 1.07785408939262
1	 0 	 200 	 10000 	 4572.0 	 470.01560165995943 	 1.07785408939262
1	 1 	 200 	 10000 	 4586.0 	 466.01989849501797 	 1.0686910212282423
1	 2 	 200 	 10000 	 4520.0 	 466.01989849501797 	 1.0686910212282423
2	 0 	 200 	 10000 	 5965.0 	 466.01989849501797 	 1.0686910212282423
2	 1 	 200 	 10000 	 5991.0 	 466.01989849501797 	 1.0686910212282423
2	 2 	 200 	 10000 	 6050.0 	 466.01989849501797 	 1.0686910212282423
3	 0 	 200 	 10000 	 4366.0 	 466.01989849501797 	 1.0686910212282423
3	 1 	 200 	 10000 	 4308.0 	 466.01989849501797 	 1.0686910212282423
3	 2 	 200 	 10000 	 4276.0 	 466.01989849501797 	 1.0686910212282423
0	 0 	 200 	 20000 	 4789.0 	 615.91147005929 	 1.4124269372392204
0	 1 	 200 	 20000 	 4754.0 	 518.1662967381176 	 1.1882747295028548
0	 2 	 200 	 20000 	 4742.0 	 445.96531765064435 	 1.0227012457871254
1	 0 	 200 	 20000 	 9057.0 	 445.96531765064435 	 1.0227012457871254
1	 1 	 200 	 20000 	 9088.0 	 445.96531765064435 	 1.0227012457871254
1	 2 	 200 	 20000 	 9054.0 	 445.96531765064435 	 1.0227012457871254
2	 0 	 200 	 20000 	 11996.0 	 445.96531765064435 	 1.0227012457871254
2	 1 	 200 	 20000 	 12018.0 	 445.96531765064435 	 1.0227012457871254
2	 2 	 200 	 20000 	 11966.0 	 445.96531765064435 	 1.0227012457871254
3	 0 	 200 	 20000 	 8605.0 	 445.96531765064435 	 1.0227012457871254
3	 1 	 200 	 20000 	 8598.0 	 445.96531765064435 	 1.0227012457871254
3	 2 	 200 	 20000 	 8643.0 	 445.96531765064435 	 1.0227012457871254
File Name: 	eil76.tsp
CrossOver 	 Muation 	 Populationsize 	 Generationsize 	 TimeCost(ms) 	 Distance 	 Standard Deviation 
0	 0 	 20 	 2000 	 62.0 	 1049.1304537522483 	 1.904833737846068
0	 1 	 20 	 2000 	 64.0 	 801.8405281076776 	 1.455846491586547
0	 2 	 20 	 2000 	 62.0 	 641.1344143618795 	 1.164063495252505
1	 0 	 20 	 2000 	 122.0 	 622.3530642586663 	 1.129963494446173
1	 1 	 20 	 2000 	 122.0 	 597.7369196069571 	 1.085269659984908
1	 2 	 20 	 2000 	 121.0 	 575.6885938057542 	 1.0452380369403718
2	 0 	 20 	 2000 	 174.0 	 573.811290378359 	 1.041829546707449
2	 1 	 20 	 2000 	 175.0 	 573.811290378359 	 1.041829546707449
2	 2 	 20 	 2000 	 176.0 	 573.8112903783589 	 1.0418295467074488
3	 0 	 20 	 2000 	 122.0 	 573.8112903783589 	 1.0418295467074488
3	 1 	 20 	 2000 	 121.0 	 572.1511242332252 	 1.0388152976477916
3	 2 	 20 	 2000 	 121.0 	 572.0790679220585 	 1.0386844699780349
0	 0 	 20 	 5000 	 156.0 	 844.7811025546014 	 1.5338107281945397
0	 1 	 20 	 5000 	 158.0 	 719.2972131790606 	 1.305978293072873
0	 2 	 20 	 5000 	 156.0 	 597.0121463542946 	 1.0839537392249852
1	 0 	 20 	 5000 	 307.0 	 591.0155397644714 	 1.0730661146173568
1	 1 	 20 	 5000 	 306.0 	 586.6309951415442 	 1.0651053996338455
1	 2 	 20 	 5000 	 306.0 	 582.6800655631778 	 1.0579319695520004
2	 0 	 20 	 5000 	 437.0 	 582.6800655631778 	 1.0579319695520004
2	 1 	 20 	 5000 	 442.0 	 579.918721753711 	 1.05291838822734
2	 2 	 20 	 5000 	 439.0 	 579.8129405726943 	 1.0527263286396031
3	 0 	 20 	 5000 	 318.0 	 579.8129405726943 	 1.0527263286396031
3	 1 	 20 	 5000 	 302.0 	 579.8129405726943 	 1.0527263286396031
3	 2 	 20 	 5000 	 303.0 	 579.8129405726943 	 1.0527263286396031
0	 0 	 20 	 10000 	 313.0 	 775.5339611986229 	 1.4080834741314214
0	 1 	 20 	 10000 	 314.0 	 722.6985123986163 	 1.3121537972561206
0	 2 	 20 	 10000 	 313.0 	 613.5251151328391 	 1.1139351966584934
1	 0 	 20 	 10000 	 610.0 	 613.5251151328391 	 1.1139351966584934
1	 1 	 20 	 10000 	 612.0 	 583.4859579824462 	 1.059395172782644
1	 2 	 20 	 10000 	 611.0 	 575.430201958154 	 1.044768892700842
2	 0 	 20 	 10000 	 874.0 	 575.430201958154 	 1.044768892700842
2	 1 	 20 	 10000 	 876.0 	 574.5755571640256 	 1.0432171731487996
2	 2 	 20 	 10000 	 875.0 	 574.5755571640256 	 1.0432171731487996
3	 0 	 20 	 10000 	 604.0 	 574.5755571640256 	 1.0432171731487996
3	 1 	 20 	 10000 	 605.0 	 574.5755571640256 	 1.0432171731487996
3	 2 	 20 	 10000 	 601.0 	 574.5755571640256 	 1.0432171731487996
0	 0 	 20 	 20000 	 621.0 	 861.0465416231006 	 1.5633427630218057
0	 1 	 20 	 20000 	 625.0 	 703.239170727698 	 1.276822813965655
0	 2 	 20 	 20000 	 624.0 	 592.5684238886074 	 1.0758855791177346
1	 0 	 20 	 20000 	 1225.0 	 592.5684238886074 	 1.0758855791177346
1	 1 	 20 	 20000 	 1222.0 	 580.0595447067491 	 1.053174070741417
1	 2 	 20 	 20000 	 1217.0 	 580.0595447067491 	 1.053174070741417
2	 0 	 20 	 20000 	 1777.0 	 580.0595447067491 	 1.053174070741417
2	 1 	 20 	 20000 	 1750.0 	 580.0595447067491 	 1.053174070741417
2	 2 	 20 	 20000 	 1756.0 	 580.0595447067491 	 1.053174070741417
3	 0 	 20 	 20000 	 1200.0 	 580.0595447067491 	 1.053174070741417
3	 1 	 20 	 20000 	 1208.0 	 580.0595447067491 	 1.053174070741417
3	 2 	 20 	 20000 	 1209.0 	 580.0595447067491 	 1.053174070741417
0	 0 	 50 	 2000 	 156.0 	 876.9819400954427 	 1.5922755659230798
0	 1 	 50 	 2000 	 158.0 	 737.7755173925167 	 1.339528074378036
0	 2 	 50 	 2000 	 156.0 	 589.8224357424295 	 1.0708998780108252
1	 0 	 50 	 2000 	 307.0 	 589.8224357424295 	 1.0708998780108252
1	 1 	 50 	 2000 	 308.0 	 582.0515710813162 	 1.0567908555095873
1	 2 	 50 	 2000 	 314.0 	 580.4871036739645 	 1.05395036004153
2	 0 	 50 	 2000 	 441.0 	 572.0651753725355 	 1.0386592462349422
2	 1 	 50 	 2000 	 441.0 	 566.177288912227 	 1.0279690172609475
2	 2 	 50 	 2000 	 457.0 	 566.177288912227 	 1.0279690172609475
3	 0 	 50 	 2000 	 302.0 	 566.177288912227 	 1.0279690172609475
3	 1 	 50 	 2000 	 304.0 	 566.177288912227 	 1.0279690172609475
3	 2 	 50 	 2000 	 304.0 	 566.177288912227 	 1.0279690172609475
0	 0 	 50 	 5000 	 392.0 	 829.1610274483156 	 1.5054504361605723
0	 1 	 50 	 5000 	 390.0 	 705.386567711761 	 1.280721694423431
0	 2 	 50 	 5000 	 391.0 	 593.3674902287371 	 1.0773363887077263
1	 0 	 50 	 5000 	 769.0 	 593.3674902287371 	 1.0773363887077263
1	 1 	 50 	 5000 	 772.0 	 591.9051238246761 	 1.074681270982771
1	 2 	 50 	 5000 	 771.0 	 591.9051238246761 	 1.074681270982771
2	 0 	 50 	 5000 	 1101.0 	 591.9051238246761 	 1.074681270982771
2	 1 	 50 	 5000 	 1104.0 	 591.9051238246761 	 1.074681270982771
2	 2 	 50 	 5000 	 1102.0 	 591.9051238246761 	 1.074681270982771
3	 0 	 50 	 5000 	 753.0 	 591.9051238246761 	 1.074681270982771
3	 1 	 50 	 5000 	 763.0 	 591.7462737025879 	 1.074392857782361
3	 2 	 50 	 5000 	 756.0 	 591.7462737025879 	 1.074392857782361
0	 0 	 50 	 10000 	 787.0 	 810.212690836981 	 1.4710472494794071
0	 1 	 50 	 10000 	 782.0 	 724.2230601643648 	 1.314921813386783
0	 2 	 50 	 10000 	 783.0 	 601.6303177334134 	 1.092338634181221
1	 0 	 50 	 10000 	 1558.0 	 601.6303177334134 	 1.092338634181221
1	 1 	 50 	 10000 	 1536.0 	 586.3861740990102 	 1.06466089496821
1	 2 	 50 	 10000 	 1539.0 	 586.3861740990102 	 1.06466089496821
2	 0 	 50 	 10000 	 2204.0 	 586.3861740990102 	 1.06466089496821
2	 1 	 50 	 10000 	 2210.0 	 586.3861740990102 	 1.06466089496821
2	 2 	 50 	 10000 	 2205.0 	 586.3861740990102 	 1.06466089496821
3	 0 	 50 	 10000 	 1515.0 	 586.3861740990102 	 1.06466089496821
3	 1 	 50 	 10000 	 1522.0 	 586.3861740990102 	 1.06466089496821
3	 2 	 50 	 10000 	 1509.0 	 586.3861740990102 	 1.06466089496821
0	 0 	 50 	 20000 	 1561.0 	 824.4713268444505 	 1.4969356705290058
0	 1 	 50 	 20000 	 1565.0 	 651.8780397276352 	 1.1835699541397455
0	 2 	 50 	 20000 	 1562.0 	 577.7546516804583 	 1.0489892355925543
1	 0 	 50 	 20000 	 3079.0 	 577.7546516804583 	 1.0489892355925543
1	 1 	 50 	 20000 	 3115.0 	 573.3467022629942 	 1.0409860261393593
1	 2 	 50 	 20000 	 3078.0 	 573.3467022629942 	 1.0409860261393593
2	 0 	 50 	 20000 	 4419.0 	 573.3467022629942 	 1.0409860261393593
2	 1 	 50 	 20000 	 4447.0 	 573.3467022629942 	 1.0409860261393593
2	 2 	 50 	 20000 	 4444.0 	 573.3467022629941 	 1.040986026139359
3	 0 	 50 	 20000 	 3003.0 	 573.3467022629941 	 1.040986026139359
3	 1 	 50 	 20000 	 3035.0 	 566.4955274837941 	 1.0285468210656479
3	 2 	 50 	 20000 	 3015.0 	 566.495527483794 	 1.0285468210656477
0	 0 	 100 	 2000 	 332.0 	 893.1396552414323 	 1.621612013860998
0	 1 	 100 	 2000 	 315.0 	 722.2214095259068 	 1.3112875545070801
0	 2 	 100 	 2000 	 315.0 	 584.6640321837327 	 1.0615341207812183
1	 0 	 100 	 2000 	 618.0 	 584.6640321837327 	 1.0615341207812183
1	 1 	 100 	 2000 	 620.0 	 582.6180747728341 	 1.057819417153526
1	 2 	 100 	 2000 	 620.0 	 582.6180747728341 	 1.057819417153526
2	 0 	 100 	 2000 	 907.0 	 582.6180747728341 	 1.057819417153526
2	 1 	 100 	 2000 	 885.0 	 582.6180747728341 	 1.057819417153526
2	 2 	 100 	 2000 	 886.0 	 582.6180747728341 	 1.057819417153526
3	 0 	 100 	 2000 	 604.0 	 582.6180747728341 	 1.057819417153526
3	 1 	 100 	 2000 	 621.0 	 582.6180747728341 	 1.057819417153526
3	 2 	 100 	 2000 	 638.0 	 582.6180747728341 	 1.057819417153526
0	 0 	 100 	 5000 	 786.0 	 835.8049477253442 	 1.5175133435425672
0	 1 	 100 	 5000 	 786.0 	 692.7535992801551 	 1.2577848857628846
0	 2 	 100 	 5000 	 789.0 	 605.8988598959581 	 1.1000887315056798
1	 0 	 100 	 5000 	 1548.0 	 605.8988598959581 	 1.1000887315056798
1	 1 	 100 	 5000 	 1550.0 	 600.8628353697939 	 1.0909451694369694
1	 2 	 100 	 5000 	 1552.0 	 600.8628353697939 	 1.0909451694369694
2	 0 	 100 	 5000 	 2210.0 	 600.8628353697939 	 1.0909451694369694
2	 1 	 100 	 5000 	 2214.0 	 593.8512081628564 	 1.078214641967096
2	 2 	 100 	 5000 	 2215.0 	 593.8512081628564 	 1.078214641967096
3	 0 	 100 	 5000 	 1536.0 	 593.8512081628564 	 1.078214641967096
3	 1 	 100 	 5000 	 1530.0 	 593.8512081628564 	 1.078214641967096
3	 2 	 100 	 5000 	 1529.0 	 593.8512081628564 	 1.078214641967096
0	 0 	 100 	 10000 	 1575.0 	 798.2345044563464 	 1.4492992833857365
0	 1 	 100 	 10000 	 1573.0 	 695.2452416455874 	 1.2623087887945308
0	 2 	 100 	 10000 	 1571.0 	 591.5743155165914 	 1.0740806451752312
1	 0 	 100 	 10000 	 3146.0 	 591.5743155165914 	 1.0740806451752312
1	 1 	 100 	 10000 	 3097.0 	 580.0632111887178 	 1.053180727719611
1	 2 	 100 	 10000 	 3115.0 	 573.6388326309262 	 1.041516427081107
2	 0 	 100 	 10000 	 4444.0 	 573.6388326309262 	 1.041516427081107
2	 1 	 100 	 10000 	 4422.0 	 573.6388326309262 	 1.041516427081107
2	 2 	 100 	 10000 	 4421.0 	 573.6388326309262 	 1.041516427081107
3	 0 	 100 	 10000 	 3074.0 	 573.6388326309262 	 1.041516427081107
3	 1 	 100 	 10000 	 3064.0 	 573.6388326309262 	 1.041516427081107
3	 2 	 100 	 10000 	 3049.0 	 573.6388326309262 	 1.041516427081107
0	 0 	 100 	 20000 	 3144.0 	 809.0023172253608 	 1.4688496576712895
0	 1 	 100 	 20000 	 3143.0 	 722.5061005598603 	 1.3118044483636995
0	 2 	 100 	 20000 	 3184.0 	 591.1271264723073 	 1.073268714899353
1	 0 	 100 	 20000 	 6192.0 	 591.1271264723073 	 1.073268714899353
1	 1 	 100 	 20000 	 6242.0 	 589.8822320397124 	 1.0710084460197467
1	 2 	 100 	 20000 	 6196.0 	 589.8822320397124 	 1.0710084460197467
2	 0 	 100 	 20000 	 8843.0 	 589.8822320397124 	 1.0710084460197467
2	 1 	 100 	 20000 	 8862.0 	 589.8822320397124 	 1.0710084460197467
2	 2 	 100 	 20000 	 8843.0 	 589.8822320397124 	 1.0710084460197467
3	 0 	 100 	 20000 	 6049.0 	 589.8822320397124 	 1.0710084460197467
3	 1 	 100 	 20000 	 6071.0 	 589.8822320397124 	 1.0710084460197467
