File Name: 	eil101.tsp
Algorithm 	 Populationsize 	 Generationsize 	 TimeCost(ms) 	 Distance 
GA 	20 	 2000 	 218.0 	 1688.7791166874606
GP 	20 	 2000 	 397.0 	 1933.8930435436955
DS 	20 	 2000 	 212.0 	 2079.7185677708135
GA 	20 	 5000 	 298.0 	 1449.1482796927423
GP 	20 	 5000 	 748.0 	 1807.2462512503764
DS 	20 	 5000 	 479.0 	 2079.7185677708135
GA 	20 	 10000 	 528.0 	 1245.0859522118174
GP 	20 	 10000 	 1496.0 	 1453.4408208086015
DS 	20 	 10000 	 989.0 	 2079.7185677708135
GA 	20 	 20000 	 1121.0 	 1102.2461559798032
GP 	20 	 20000 	 3249.0 	 1282.58865556301
DS 	20 	 20000 	 1918.0 	 2079.7185677708135
GA 	50 	 2000 	 263.0 	 1428.6926985601021
GP 	50 	 2000 	 766.0 	 1433.429479620264
DS 	50 	 2000 	 509.0 	 2079.7185677708135
GA 	50 	 5000 	 700.0 	 1149.3607329652277
GP 	50 	 5000 	 1948.0 	 1373.7798311050165
DS 	50 	 5000 	 1273.0 	 2079.7185677708135
GA 	50 	 10000 	 1383.0 	 987.3550961041865
GP 	50 	 10000 	 3673.0 	 1168.025450820293
DS 	50 	 10000 	 2436.0 	 2079.7185677708135
GA 	50 	 20000 	 3279.0 	 936.074004481416
GP 	50 	 20000 	 7903.0 	 1112.1064166724123
DS 	50 	 20000 	 4960.0 	 942.9278671330226
GA 	100 	 2000 	 527.0 	 1194.571665301065
GP 	100 	 2000 	 1511.0 	 1132.6617848773778
DS 	100 	 2000 	 1184.0 	 2079.7185677708135
GA 	100 	 5000 	 1430.0 	 939.2705625586457
GP 	100 	 5000 	 3935.0 	 988.6234677769404
DS 	100 	 5000 	 2717.0 	 1375.864609320656
GA 	100 	 10000 	 2722.0 	 864.6861366862519
GP 	100 	 10000 	 7808.0 	 948.9116018761131
DS 	100 	 10000 	 5152.0 	 1139.075183935506
GA 	100 	 20000 	 5771.0 	 936.6806786209148
GP 	100 	 20000 	 15845.0 	 967.4053097802481
DS 	100 	 20000 	 10533.0 	 797.6136750018742
GA 	200 	 2000 	 1103.0 	 1222.7169312167332
GP 	200 	 2000 	 2992.0 	 1018.3714126452118
DS 	200 	 2000 	 2302.0 	 2079.7185677708135
GA 	200 	 5000 	 2774.0 	 884.2265111312829
GP 	200 	 5000 	 8053.0 	 951.110416766416
DS 	200 	 5000 	 5310.0 	 954.1435424099118
GA 	200 	 10000 	 5268.0 	 919.1494072332331
GP 	200 	 10000 	 15694.0 	 920.0137770742889
DS 	200 	 10000 	 11477.0 	 2079.7185677708135
GA 	200 	 20000 	 11038.0 	 795.884169508905
GP 	200 	 20000 	 31135.0 	 797.994344029238
DS 	200 	 20000 	 19795.0 	 826.6275284536316
File Name: 	eil51.tsp
Algorithm 	 Populationsize 	 Generationsize 	 TimeCost(ms) 	 Distance 
GA 	20 	 2000 	 74.0 	 822.0868689440672
GP 	20 	 2000 	 153.0 	 878.4418358524624
DS 	20 	 2000 	 102.0 	 1327.3607884337955
GA 	20 	 5000 	 168.0 	 655.7537890876915
GP 	20 	 5000 	 394.0 	 676.6317715307832
DS 	20 	 5000 	 279.0 	 763.722925667099
GA 	20 	 10000 	 358.0 	 614.7765101369403
GP 	20 	 10000 	 770.0 	 617.233917999051
DS 	20 	 10000 	 532.0 	 592.820109814002
GA 	20 	 20000 	 666.0 	 544.6017154519401
GP 	20 	 20000 	 1539.0 	 710.8996059064783
DS 	20 	 20000 	 1019.0 	 548.6511845255254
GA 	50 	 2000 	 169.0 	 600.1214669331223
GP 	50 	 2000 	 389.0 	 736.3326030946846
DS 	50 	 2000 	 251.0 	 679.4800744889221
GA 	50 	 5000 	 406.0 	 668.0181153768159
GP 	50 	 5000 	 964.0 	 608.7251700464094
DS 	50 	 5000 	 671.0 	 626.4931806164813
GA 	50 	 10000 	 881.0 	 565.6207665392277
GP 	50 	 10000 	 1980.0 	 555.8326364792049
DS 	50 	 10000 	 1231.0 	 514.4361034894149
GA 	50 	 20000 	 1605.0 	 613.7634894950464
GP 	50 	 20000 	 3872.0 	 542.6996158232594
DS 	50 	 20000 	 2780.0 	 520.3818505140646
GA 	100 	 2000 	 351.0 	 568.7103655262329
GP 	100 	 2000 	 808.0 	 655.7180523739207
DS 	100 	 2000 	 540.0 	 604.1777707035537
GA 	100 	 5000 	 858.0 	 532.1968293769158
GP 	100 	 5000 	 2005.0 	 521.4203417272514
DS 	100 	 5000 	 1324.0 	 521.6377319712717
GA 	100 	 10000 	 1736.0 	 654.308217937211
GP 	100 	 10000 	 3734.0 	 514.0727695442198
DS 	100 	 10000 	 2415.0 	 522.160379966454
GA 	100 	 20000 	 3112.0 	 584.9020973812364
GP 	100 	 20000 	 7708.0 	 500.3620668203179
DS 	100 	 20000 	 5361.0 	 525.1994602358811
GA 	200 	 2000 	 679.0 	 543.6380299997869
GP 	200 	 2000 	 1473.0 	 537.9870294322782
DS 	200 	 2000 	 1007.0 	 555.9532722823848
GA 	200 	 5000 	 1590.0 	 591.8206369696572
GP 	200 	 5000 	 3750.0 	 487.0483681033435
DS 	200 	 5000 	 2616.0 	 600.9139731359813
GA 	200 	 10000 	 3395.0 	 556.4428200542543
GP 	200 	 10000 	 7659.0 	 478.24834309932885
DS 	200 	 10000 	 5190.0 	 470.6540065558932
GA 	200 	 20000 	 6793.0 	 524.9246460788379
GP 	200 	 20000 	 15690.0 	 488.2627607270598
DS 	200 	 20000 	 10695.0 	 486.03154073234447
File Name: 	eil76.tsp
Algorithm 	 Populationsize 	 Generationsize 	 TimeCost(ms) 	 Distance 
GA 	20 	 2000 	 93.0 	 1318.8056327901854
GP 	20 	 2000 	 233.0 	 1372.1703106947648
DS 	20 	 2000 	 148.0 	 2000.1697343767298
GA 	20 	 5000 	 221.0 	 1016.9813002465974
GP 	20 	 5000 	 554.0 	 1237.7849831108601
DS 	20 	 5000 	 358.0 	 1225.1639613706072
GA 	20 	 10000 	 420.0 	 882.9078364079913
GP 	20 	 10000 	 1103.0 	 1019.3287939894697
DS 	20 	 10000 	 730.0 	 1181.6061914982663
GA 	20 	 20000 	 885.0 	 816.9826134068942
GP 	20 	 20000 	 2164.0 	 898.735978011624
DS 	20 	 20000 	 1418.0 	 961.3353120153139
GA 	50 	 2000 	 246.0 	 1204.3647957298945
GP 	50 	 2000 	 583.0 	 1070.3901107663198
DS 	50 	 2000 	 356.0 	 1088.5833629700946
GA 	50 	 5000 	 587.0 	 825.1632084785097
GP 	50 	 5000 	 1428.0 	 946.3501834553252
DS 	50 	 5000 	 907.0 	 985.1664640901763
GA 	50 	 10000 	 1113.0 	 832.5035717278028
GP 	50 	 10000 	 2917.0 	 950.5930089932813
DS 	50 	 10000 	 1861.0 	 787.2203659850986
GA 	50 	 20000 	 2213.0 	 751.8260193242563
GP 	50 	 20000 	 5810.0 	 792.3834678558669
DS 	50 	 20000 	 3454.0 	 761.7565004672776
GA 	100 	 2000 	 423.0 	 926.4407744980606
GP 	100 	 2000 	 1091.0 	 857.2022300684935
DS 	100 	 2000 	 738.0 	 925.4410759167595
GA 	100 	 5000 	 1118.0 	 798.0170909571054
GP 	100 	 5000 	 2878.0 	 822.1109169384499
DS 	100 	 5000 	 1822.0 	 760.288167587311
GA 	100 	 10000 	 2188.0 	 661.996214440743
GP 	100 	 10000 	 5564.0 	 637.9417705951436
DS 	100 	 10000 	 3474.0 	 658.6743361924924
GA 	100 	 20000 	 4241.0 	 638.7701622323341
GP 	100 	 20000 	 11609.0 	 685.2335492418109
DS 	100 	 20000 	 8135.0 	 789.2678851236977
GA 	200 	 2000 	 946.0 	 819.1500139601934
GP 	200 	 2000 	 2402.0 	 742.9865454911252
DS 	200 	 2000 	 1537.0 	 791.3349984978317
GA 	200 	 5000 	 2293.0 	 800.6302933007602
GP 	200 	 5000 	 5703.0 	 743.9388456204963
DS 	200 	 5000 	 3620.0 	 734.5126472631205
GA 	200 	 10000 	 4584.0 	 838.8967358653011
GP 	200 	 10000 	 11944.0 	 663.6203334187883
DS 	200 	 10000 	 7398.0 	 654.1479801709411
