File Name: 	eil101.tsp
Algorithm 	 Populationsize 	 Generationsize 	 TimeCost(ms) 	 Distance 
GA 	200 	 20000 	 9338.0 	 669.7364119029688
GP 	200 	 20000 	 23487.0 	 688.1512574664672
DS 	200 	 20000 	 14931.0 	 640.5888758679856
File Name: 	kroA100.tsp
Algorithm 	 Populationsize 	 Generationsize 	 TimeCost(ms) 	 Distance 
GA 	20 	 2000 	 132.0 	 96451.68717449377
GP 	20 	 2000 	 312.0 	 88585.5841950398
DS 	20 	 2000 	 200.0 	 98460.26996443562
GA 	20 	 5000 	 319.0 	 59674.089911805786
GP 	20 	 5000 	 880.0 	 70683.31307802178
DS 	20 	 5000 	 489.0 	 82838.40371109605
GA 	20 	 10000 	 525.0 	 53309.37414205429
GP 	20 	 10000 	 1521.0 	 72399.63282805812
DS 	20 	 10000 	 956.0 	 54613.98600484292
GA 	20 	 20000 	 1133.0 	 38002.532981432756
GP 	20 	 20000 	 3144.0 	 58918.31550716566
DS 	20 	 20000 	 1930.0 	 48224.039854640745
GA 	50 	 2000 	 270.0 	 63900.285252957176
GP 	50 	 2000 	 731.0 	 64322.91340421765
DS 	50 	 2000 	 461.0 	 69297.612657581
GA 	50 	 5000 	 681.0 	 55064.36952617751
GP 	50 	 5000 	 1873.0 	 54996.84772271218
DS 	50 	 5000 	 1170.0 	 52595.963541548816
GA 	50 	 10000 	 1368.0 	 38322.3480717913
GP 	50 	 10000 	 3999.0 	 47915.90099921336
DS 	50 	 10000 	 2419.0 	 49777.19320691792
GA 	50 	 20000 	 2910.0 	 38520.259629569584
GP 	50 	 20000 	 7478.0 	 50082.06389499906
DS 	50 	 20000 	 4685.0 	 38592.48122889977
GA 	100 	 2000 	 590.0 	 56608.92756180392
GP 	100 	 2000 	 1627.0 	 54508.24976015647
DS 	100 	 2000 	 1000.0 	 51836.84063041668
GA 	100 	 5000 	 1449.0 	 37997.347062332694
GP 	100 	 5000 	 3957.0 	 41040.45275941516
DS 	100 	 5000 	 2565.0 	 46910.95261829336
GA 	100 	 10000 	 2847.0 	 30571.143403201513
GP 	100 	 10000 	 7834.0 	 39590.60552595055
DS 	100 	 10000 	 4928.0 	 36720.752685741616
GA 	100 	 20000 	 5483.0 	 34110.60037322162
GP 	100 	 20000 	 15593.0 	 37527.34478424734
DS 	100 	 20000 	 9661.0 	 34155.018148026866
GA 	200 	 2000 	 1145.0 	 43836.73364615106
GP 	200 	 2000 	 3035.0 	 36937.57717082529
DS 	200 	 2000 	 1928.0 	 40155.437084391226
GA 	200 	 5000 	 2806.0 	 36186.07880910981
GP 	200 	 5000 	 7607.0 	 35640.0496541039
DS 	200 	 5000 	 4579.0 	 36030.250926286215
GA 	200 	 10000 	 5365.0 	 39678.33402845557
GP 	200 	 10000 	 16040.0 	 30476.297118623686
DS 	200 	 10000 	 9843.0 	 27725.515522661826
GA 	200 	 20000 	 10923.0 	 37709.68003064134
GP 	200 	 20000 	 31239.0 	 30303.36616810318
DS 	200 	 20000 	 20018.0 	 31691.96161308358
File Name: 	kroC100.tsp
Algorithm 	 Populationsize 	 Generationsize 	 TimeCost(ms) 	 Distance 
GA 	20 	 2000 	 111.0 	 82980.30441614018
GP 	20 	 2000 	 304.0 	 75934.00161992587
DS 	20 	 2000 	 192.0 	 101691.97346218135
GA 	20 	 5000 	 272.0 	 63367.60390569096
GP 	20 	 5000 	 758.0 	 76617.40326568602
DS 	20 	 5000 	 465.0 	 70411.92699275442
GA 	20 	 10000 	 548.0 	 50458.54220969596
GP 	20 	 10000 	 1528.0 	 68346.896586762
DS 	20 	 10000 	 962.0 	 65090.90813299747
GA 	20 	 20000 	 1089.0 	 43176.15543514746
GP 	20 	 20000 	 3046.0 	 55995.38823344516
DS 	20 	 20000 	 1811.0 	 45735.95599914451
GA 	50 	 2000 	 264.0 	 64147.95854182198
GP 	50 	 2000 	 720.0 	 55269.72512551822
DS 	50 	 2000 	 456.0 	 74304.24555654323
GA 	50 	 5000 	 651.0 	 42471.84189933016
GP 	50 	 5000 	 1817.0 	 53116.46893344967
DS 	50 	 5000 	 1174.0 	 52079.73658205329
GA 	50 	 10000 	 1355.0 	 41459.44522339812
GP 	50 	 10000 	 3835.0 	 46684.72754036369
DS 	50 	 10000 	 2350.0 	 43505.68649093471
GA 	50 	 20000 	 2691.0 	 36770.1551044428
GP 	50 	 20000 	 7605.0 	 43719.17479714329
DS 	50 	 20000 	 4740.0 	 37766.841688758665
GA 	100 	 2000 	 563.0 	 53331.55443481635
GP 	100 	 2000 	 1602.0 	 46750.5540460215
DS 	100 	 2000 	 957.0 	 52312.261604078805
GA 	100 	 5000 	 1439.0 	 38284.16481597083
GP 	100 	 5000 	 3988.0 	 44532.65528071854
DS 	100 	 5000 	 2398.0 	 46802.17904352248
GA 	100 	 10000 	 2675.0 	 34705.09264403636
GP 	100 	 10000 	 7686.0 	 36898.18563163253
DS 	100 	 10000 	 4988.0 	 33664.153773954065
GA 	100 	 20000 	 5575.0 	 31546.500386640102
GP 	100 	 20000 	 15755.0 	 42132.11948207361
DS 	100 	 20000 	 9594.0 	 33934.820692239955
GA 	200 	 2000 	 1078.0 	 45091.98309016313
GP 	200 	 2000 	 3218.0 	 40435.28048406117
DS 	200 	 2000 	 2118.0 	 49806.31717955653
GA 	200 	 5000 	 2827.0 	 33910.43070164704
GP 	200 	 5000 	 8010.0 	 35578.15058536022
DS 	200 	 5000 	 4775.0 	 34541.81833968872
GA 	200 	 10000 	 5672.0 	 34397.94469098336
GP 	200 	 10000 	 15567.0 	 36067.438026733376
DS 	200 	 10000 	 10012.0 	 27450.8186198605
GA 	200 	 20000 	 11289.0 	 32934.74014084189
GP 	200 	 20000 	 31508.0 	 36941.35709348307
DS 	200 	 20000 	 19112.0 	 31037.78832404188
File Name: 	kroD100.tsp
Algorithm 	 Populationsize 	 Generationsize 	 TimeCost(ms) 	 Distance 
GA 	20 	 2000 	 113.0 	 75532.74956252868
GP 	20 	 2000 	 311.0 	 80642.4911315501
DS 	20 	 2000 	 192.0 	 90697.32524905313
GA 	20 	 5000 	 278.0 	 60307.774767501665
GP 	20 	 5000 	 753.0 	 62724.032058823344
DS 	20 	 5000 	 477.0 	 68168.34782835146
GA 	20 	 10000 	 561.0 	 50291.19777558937
GP 	20 	 10000 	 1509.0 	 68639.42466790964
DS 	20 	 10000 	 891.0 	 62372.85614159732
GA 	20 	 20000 	 1018.0 	 38599.379717541706
GP 	20 	 20000 	 2861.0 	 61229.015694019654
DS 	20 	 20000 	 1861.0 	 47881.51135746206
GA 	50 	 2000 	 269.0 	 64718.56212601911
GP 	50 	 2000 	 792.0 	 62376.413850611316
DS 	50 	 2000 	 485.0 	 66541.76269418723
GA 	50 	 5000 	 704.0 	 45704.21661940386
GP 	50 	 5000 	 1985.0 	 58612.99198222109
DS 	50 	 5000 	 1181.0 	 51144.19021665156
GA 	50 	 10000 	 1335.0 	 38864.499874338544
GP 	50 	 10000 	 3914.0 	 44491.16093099595
DS 	50 	 10000 	 2480.0 	 40667.19153032986
GA 	50 	 20000 	 2644.0 	 36798.8370192512
GP 	50 	 20000 	 7767.0 	 43032.46991724262
DS 	50 	 20000 	 5245.0 	 38852.952496252954
GA 	100 	 2000 	 575.0 	 53743.55818599482
GP 	100 	 2000 	 1648.0 	 50123.96590621307
DS 	100 	 2000 	 972.0 	 55732.32088003046
GA 	100 	 5000 	 1390.0 	 36690.20541511224
GP 	100 	 5000 	 3900.0 	 45789.40492060986
DS 	100 	 5000 	 2246.0 	 41451.613351935295
GA 	100 	 10000 	 2601.0 	 35180.4645429683
GP 	100 	 10000 	 7663.0 	 36081.24701483253
DS 	100 	 10000 	 4770.0 	 37095.05987967364
GA 	100 	 20000 	 5181.0 	 34732.29661749404
GP 	100 	 20000 	 15573.0 	 33374.20932555918
DS 	100 	 20000 	 9321.0 	 29106.46588655647
GA 	200 	 2000 	 1124.0 	 45479.0385826471
GP 	200 	 2000 	 3223.0 	 38584.51682365772
DS 	200 	 2000 	 1986.0 	 46674.83495389284
GA 	200 	 5000 	 2842.0 	 31786.5049547684
GP 	200 	 5000 	 7372.0 	 35211.79658036089
DS 	200 	 5000 	 4578.0 	 34841.62999798061
GA 	200 	 10000 	 5414.0 	 37791.8096826494
GP 	200 	 10000 	 14814.0 	 32928.98269275372
DS 	200 	 10000 	 9457.0 	 32206.658823656642
GA 	200 	 20000 	 10700.0 	 34346.386830823765
GP 	200 	 20000 	 30382.0 	 32195.81840766829
DS 	200 	 20000 	 19337.0 	 28217.79995395969
File Name: 	lin105.tsp
Algorithm 	 Populationsize 	 Generationsize 	 TimeCost(ms) 	 Distance 
GA 	20 	 2000 	 118.0 	 64708.73648006209
GP 	20 	 2000 	 332.0 	 64879.23935141122
DS 	20 	 2000 	 206.0 	 38221.01031959003
GA 	20 	 5000 	 283.0 	 49193.0578317487
GP 	20 	 5000 	 805.0 	 60567.01921068818
DS 	20 	 5000 	 510.0 	 38221.01031959003
GA 	20 	 10000 	 571.0 	 36186.75616329701
GP 	20 	 10000 	 1600.0 	 49496.80296808376
DS 	20 	 10000 	 957.0 	 38221.01031959003
GA 	20 	 20000 	 1087.0 	 29842.575305067585
GP 	20 	 20000 	 3072.0 	 41740.5017395721
DS 	20 	 20000 	 1938.0 	 38221.01031959003
GA 	50 	 2000 	 281.0 	 45691.83770475415
GP 	50 	 2000 	 776.0 	 39525.130882518286
DS 	50 	 2000 	 514.0 	 38221.01031959003
GA 	50 	 5000 	 687.0 	 34319.999910445236
GP 	50 	 5000 	 1970.0 	 40632.82024394687
DS 	50 	 5000 	 1383.0 	 38221.01031959003
GA 	50 	 10000 	 1433.0 	 33887.74617157406
GP 	50 	 10000 	 3960.0 	 33601.325432148114
DS 	50 	 10000 	 2764.0 	 38221.01031959003
GA 	50 	 20000 	 2743.0 	 23158.883254169814
GP 	50 	 20000 	 7549.0 	 29921.884467512333
DS 	50 	 20000 	 5303.0 	 38221.01031959003
GA 	100 	 2000 	 559.0 	 37827.31382377585
GP 	100 	 2000 	 1584.0 	 36591.103173893476
DS 	100 	 2000 	 1141.0 	 38221.01031959003
GA 	100 	 5000 	 1439.0 	 26656.14701119705
GP 	100 	 5000 	 3829.0 	 28598.13886915301
DS 	100 	 5000 	 2690.0 	 38221.01031959003
GA 	100 	 10000 	 2657.0 	 21757.101654715552
GP 	100 	 10000 	 8045.0 	 29295.1042998534
DS 	100 	 10000 	 5574.0 	 38221.01031959003
GA 	100 	 20000 	 5218.0 	 28812.093451189852
GP 	100 	 20000 	 15549.0 	 22475.22209589351
DS 	100 	 20000 	 10960.0 	 38221.01031959003
GA 	200 	 2000 	 1197.0 	 33224.252430555716
GP 	200 	 2000 	 3299.0 	 27847.794916286755
DS 	200 	 2000 	 2522.0 	 38221.01031959003
GA 	200 	 5000 	 2780.0 	 23201.04451427675
GP 	200 	 5000 	 7907.0 	 25582.26955714619
DS 	200 	 5000 	 6287.0 	 38221.01031959003
GA 	200 	 10000 	 5686.0 	 26040.594805270382
GP 	200 	 10000 	 15568.0 	 25020.19503663983
DS 	200 	 10000 	 12564.0 	 38221.01031959003
GA 	200 	 20000 	 11484.0 	 22418.340641283256
GP 	200 	 20000 	 32414.0 	 21389.252301711676
DS 	200 	 20000 	 23436.0 	 38221.01031959003
File Name: 	pcb442.tsp
Algorithm 	 Populationsize 	 Generationsize 	 TimeCost(ms) 	 Distance 
GA 	20 	 2000 	 676.0 	 558132.430273561
GP 	20 	 2000 	 2285.0 	 507288.56266834645
DS 	20 	 2000 	 1246.0 	 221882.76906299748
GA 	20 	 5000 	 1219.0 	 478327.7592802952
GP 	20 	 5000 	 5731.0 	 461811.4198713738
DS 	20 	 5000 	 3233.0 	 221882.76906299748
GA 	20 	 10000 	 2289.0 	 384912.9230669912
GP 	20 	 10000 	 11505.0 	 423879.4366005219
DS 	20 	 10000 	 6060.0 	 221882.76906299748
GA 	20 	 20000 	 4653.0 	 292953.33166652615
GP 	20 	 20000 	 23140.0 	 360237.16754391347
DS 	20 	 20000 	 12923.0 	 221882.76906299748
GA 	50 	 2000 	 1169.0 	 438750.3322411658
GP 	50 	 2000 	 5946.0 	 368413.789013771
DS 	50 	 2000 	 3802.0 	 221882.76906299748
GA 	50 	 5000 	 3206.0 	 351693.3162066594
GP 	50 	 5000 	 14057.0 	 326720.22035680537
DS 	50 	 5000 	 9152.0 	 221882.76906299748
GA 	50 	 10000 	 5673.0 	 298753.81934686156
GP 	50 	 10000 	 27960.0 	 294256.05658983823
DS 	50 	 10000 	 17895.0 	 221882.76906299748
GA 	50 	 20000 	 11767.0 	 224121.95377433786
GP 	50 	 20000 	 56064.0 	 266903.1600690205
DS 	50 	 20000 	 36095.0 	 221882.76906299748
GA 	100 	 2000 	 2484.0 	 394281.8528806696
GP 	100 	 2000 	 11244.0 	 265542.61313970765
DS 	100 	 2000 	 8240.0 	 221882.76906299748
GA 	100 	 5000 	 6071.0 	 285117.43768612907
GP 	100 	 5000 	 28186.0 	 257065.35754162882
DS 	100 	 5000 	 20872.0 	 221882.76906299748
GA 	100 	 10000 	 12025.0 	 235495.63254018233
GP 	100 	 10000 	 57298.0 	 239227.7365254252
DS 	100 	 10000 	 41242.0 	 221882.76906299748
GA 	100 	 20000 	 24006.0 	 179095.1582305696
GP 	100 	 20000 	 112882.0 	 202448.27233821072
DS 	100 	 20000 	 80017.0 	 221882.76906299748
GA 	200 	 2000 	 4959.0 	 361650.8720344532
GP 	200 	 2000 	 22859.0 	 206850.20262039657
DS 	200 	 2000 	 17228.0 	 221882.76906299748
GA 	200 	 5000 	 12090.0 	 239367.24603086422
GP 	200 	 5000 	 56287.0 	 195784.32279995354
DS 	200 	 5000 	 43111.0 	 221882.76906299748
GA 	200 	 10000 	 23629.0 	 189042.69968394603
GP 	200 	 10000 	 112050.0 	 173518.7995967959
DS 	200 	 10000 	 86689.0 	 221882.76906299748
GA 	200 	 20000 	 46505.0 	 147162.48718630293
GP 	200 	 20000 	 222397.0 	 154462.37810376904
DS 	200 	 20000 	 173101.0 	 221882.76906299748
File Name: 	pr2392.tsp
Algorithm 	 Populationsize 	 Generationsize 	 TimeCost(ms) 	 Distance 
GA 	20 	 2000 	 3218.0 	 1.3735658554879412E7
GP 	20 	 2000 	 42435.0 	 1.2980725029585317E7
DS 	20 	 2000 	 20330.0 	 378162.83119131316
GA 	20 	 5000 	 7147.0 	 1.267978635086773E7
GP 	20 	 5000 	 106591.0 	 1.1648942111210123E7
DS 	20 	 5000 	 51915.0 	 378162.83119131316
GA 	20 	 10000 	 14510.0 	 1.1284056408372153E7
GP 	20 	 10000 	 212492.0 	 1.0637313080701407E7
DS 	20 	 10000 	 103011.0 	 378162.83119131316
GA 	20 	 20000 	 29284.0 	 9824929.883698266
GP 	20 	 20000 	 425697.0 	 9398576.283985056
DS 	20 	 20000 	 205903.0 	 378162.83119131316
GA 	50 	 2000 	 7521.0 	 1.2778824083169624E7
GP 	50 	 2000 	 110450.0 	 8647905.830412852
DS 	50 	 2000 	 65522.0 	 378162.83119131316
GA 	50 	 5000 	 18851.0 	 1.1121882129273385E7
GP 	50 	 5000 	 271014.0 	 7846240.625451501
DS 	50 	 5000 	 163650.0 	 378162.83119131316
GA 	50 	 10000 	 36959.0 	 9342203.399604512
GP 	50 	 10000 	 536443.0 	 7197946.429856037
DS 	50 	 10000 	 322357.0 	 378162.83119131316
GA 	50 	 20000 	 72219.0 	 7897579.610680936
GP 	50 	 20000 	 1065820.0 	 6635614.804506287
DS 	50 	 20000 	 651244.0 	 378162.83119131316
GA 	100 	 2000 	 16180.0 	 1.1829445655115351E7
GP 	100 	 2000 	 231648.0 	 7070320.402564791
DS 	100 	 2000 	 159987.0 	 378162.83119131316
GA 	100 	 5000 	 40914.0 	 9716754.500562472
GP 	100 	 5000 	 626584.0 	 5869430.130842126
DS 	100 	 5000 	 407305.0 	 378162.83119131316
GA 	100 	 10000 	 75947.0 	 8101382.7295470815
GP 	100 	 10000 	 1083338.0 	 5841332.564568195
DS 	100 	 10000 	 756940.0 	 378162.83119131316
GA 	100 	 20000 	 145022.0 	 6532687.841971676
GP 	100 	 20000 	 2092883.0 	 5507672.026354853
DS 	100 	 20000 	 1492023.0 	 378162.83119131316
GA 	200 	 2000 	 32176.0 	 1.1048821050057879E7
GP 	200 	 2000 	 466508.0 	 5744415.51856281
DS 	200 	 2000 	 325765.0 	 378162.83119131316
GA 	200 	 5000 	 76832.0 	 8927042.18079599
