File name: 	 Optimal Distance: 
eil101.tsp	648.634091110939
eil51.tsp	436.0660745136823
eil76.tsp	550.772717275879
kroA100.tsp	21573.529974048626
kroC100.tsp	20783.073492530355
kroD100.tsp	21659.55374049528
lin105.tsp	14692.25634152179
pcb442.tsp	51230.76110923529
pr2392.tsp	378162.83119131316
st70.tsp	687.141455841942
